,id,trial,gender,group,age,time,trial_type1,trial_type2,trial_type3,trial_type4,trial_type5,trial_type6,trial_type7,trial_type8,trial_type9,trial_type10,trial_type11,trial_type12,trial_type13,trial_type14,trial_type15,trial_type16,trial_type17,trial_type18,trial_type19,trial_type20,rt1,rt2,rt3,rt4,rt5,rt6,rt7,rt8,rt9,rt10,rt11,rt12,rt13,rt14,rt15,rt16,rt17,rt18,rt19,rt20,accuracy1,accuracy2,accuracy3,accuracy4,accuracy5,accuracy6,accuracy7,accuracy8,accuracy9,accuracy10,accuracy11,accuracy12,accuracy13,accuracy14,accuracy15,accuracy16,accuracy17,accuracy18,accuracy19,accuracy20,avg_incongruent,avg_congruent,acc_incongruent,acc_congruent
0,1,1,M,exercise,29,09:33:36,False,True,False,False,True,False,False,False,True,False,False,False,True,True,True,False,False,False,True,True,1.78881393432617,1.46000705718994,1.13027416229248,1.02804599761963,1.59313498497009,1.42056809425354,1.70380102157593,1.68704615592957,0.870329961776733,1.4277502155304,1.64044891357422,1.10621295928955,1.13717900276184,1.41271005630493,1.38105832099915,1.28692589759827,1.53877697944641,2.02506505012512,1.27167712211609,1.21568404197693,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.481977448463441,1.2927225685119628,0.6,0.4
1,1,2,M,exercise,29,09:43:55,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,True,True,False,0.947346792221069,1.52967105865479,1.2244380569458,0.996191129684448,0.980452880859375,1.06677804946899,1.41276107788086,1.10650001525879,0.854971036911011,1.16954790115356,1.23953925132751,0.753677949905396,1.22419272422791,1.62491498947144,1.29472504615784,1.20063482284546,1.57002101898193,1.24805294036865,1.01186285972595,1.72737895011902,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.52657869021098,1.073156172207423,0.3,0.7
2,2,1,M,exercise,29,08:04:14,False,False,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,1.7655027961731,2.03351102828979,0.917996034622192,1.46095119476318,1.06737814903259,1.13789616584778,1.16900311470032,1.01905404090881,1.93133197784424,1.17747388839722,1.04355298042297,1.10666309356689,1.23267088890076,0.988381013870239,0.902865991592407,0.894379243850708,0.894204006195068,1.27200685501099,0.89425407409668,1.28628002166748,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.673754177093506,1.0551057116190588,0.25,0.75
3,2,2,M,exercise,29,08:12:49,True,False,False,True,False,True,True,False,False,True,False,True,True,False,True,False,False,True,True,False,1.23193202972412,1.12380920410156,1.05203400611877,1.31051717758179,0.933567867279053,0.925524101257324,0.917737112045288,1.36620603561401,1.05894194602966,0.776518926620483,1.07503233909607,0.736932859420776,0.767784223556519,0.948407754898071,0.697710380554199,0.863051996231079,0.941329107284546,0.690240726470947,0.76038800239563,0.736837015151978,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.00992172718048,0.8815285539627075,0.5,0.5
4,3,1,F,exercise,24,09:19:54,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.59276782035828,1.11345206260681,1.1682582950592,1.16912399291992,1.05900417327881,1.79007779121399,1.73500405311584,1.16121302604675,1.45975576400757,1.40454398155212,1.14502297401428,1.27076612472534,1.20065723419189,0.94141016960144,1.81424604415894,1.42132102012634,1.22445593833923,0.996935949325562,1.91659461021423,1.52358017921448,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.3792008415857941,1.141288027763365,0.9,0.1
5,3,2,F,exercise,24,09:28:43,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,1.28650485038757,0.792503223419189,1.0518568611145,1.08316980361938,1.65704713821411,1.20904384613037,1.37392602920532,1.15424810409546,1.14595876693726,1.04417096138,1.27202998161316,1.66475306510925,0.887039051055908,1.12257967948914,0.933982715606689,1.36615382194519,0.981113061904907,0.760986909866333,1.34306322097778,0.965321645736694,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.1948469098409007,1.0345498180389405,0.75,0.25
6,4,1,F,exercise,26,09:35:05,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,1.05746279716492,1.04281698226929,1.6339589214325,1.22433029174805,1.86074982643127,1.22374974250793,1.06685029029846,1.44389806747437,1.0355530834198,1.43679200172424,1.16121183395386,1.15382514953613,1.11404667854309,1.16129790306091,1.79016314506531,1.01967988967896,1.05143414497375,0.972820148468018,1.37338291168213,1.21604095458984,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.2953211373090747,1.0787316417694075,0.8,0.2
7,4,2,F,exercise,26,09:43:12,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,1.19124899864197,0.963017091751099,1.08969269752502,1.2548380947113,0.980568037033081,1.23992310523987,1.4522122001648,2.0258399105072,1.01997910499573,1.31076704025269,0.902140960693359,1.38143311500549,1.81432996749878,0.933158025741577,1.79853497505188,1.38079510688782,1.02780304908752,1.06743179321289,0.989595041275024,0.933208332061768,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.3264161205291747,1.0311151599884034,0.7,0.3
8,5,1,F,exercise,25,10:16:02,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,1.31789194107056,1.1903849697113,1.23976384162903,1.30232797622681,0.972712860107422,1.21570073127747,1.51522599220276,1.18463312149048,1.21648798942566,1.78211890220642,1.06683789253235,2.30868588447571,1.57062731742859,1.31917797088623,0.972612962722778,1.10621605873108,2.29364191055298,1.1383420085907,1.00372301101685,3.93456302642822,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.5393410927057278,1.2555547213554394,0.8,0.2
9,5,2,F,exercise,25,10:24:22,False,True,False,False,True,False,True,True,False,True,False,False,False,False,True,False,False,False,False,True,1.23065720558167,1.39734183311462,1.43539415359497,1.38908396720886,1.07509480476379,1.22476802825928,1.30288110733032,0.988918170928955,1.27998696327209,0.987968072891235,1.45935617446899,1.4910350894928,0.933988914489746,1.66471587181091,1.12283311843872,1.570284948349,0.973461256027222,0.926262245178223,1.13785181999207,1.66838084220886,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,1.2982495681444801,1.2204882785252142,0.6,0.35
